Journal	TotalPub
ACM SIGKDD Explorations Newsletter	 1
Plant Systems Biology	 1
Submit in RECOMB	 1
International Journal of Bioinformatics Research and Applications	 1
BMC Systems Biology	 6
Discrete applied mathematics	 1
Proceedings of the IEEE	 1
Journal of Bioinformatics and Computational Biology	 1
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS	 1
BioScience	 1
Molecular BioSystems	 2
Computers in Biology and Medicine	 1
Physiological Genomics	 1
Current opinion in plant biology	 1
Computers \& Chemical Engineering	 1
CISE Ph. D. Thesis Proposal, University of Puerto Rico, Mayag\\"uez, Puerto Rico	 1
Arxiv preprint arXiv:1008.5359	 1
Computational Methods in Biomedical Research	 1
analysis	 1
Journal of Biological Systems	 2
EURASIP Journal on Applied Signal Processing	 3
Journal of theoretical biology	 4
Modeling and control of complex systems	 1
Systems Biology and Regulatory Genomics	 1
Journal of bioinformatics and computational biology	 1
Computers \& chemical engineering	 1
The Plant Cell Online	 1
International Journal of Data Mining and Bioinformatics	 1
Arxiv preprint math.DS/0603289	 1
Department of Philosophy	 1
Parallel computing for bioinformatics and computational biology: models, enabling technologies, and case studies	 1
Genomic Signal Processing and Statistics (New York, NY, USA, 2005), Hindawi Publishing Corporation	 1
:	 1
Statistical Methodology	 1
J Bioinform Comput Biol	 3
Methods in enzymology	 2
Proceedings of the National Academy of Sciences	 2
Molecular systems biology	 1
Automatic Control, IEEE Transactions on	 1
Computers \& Mathematics with Applications	 1
BMC Bioinformatics	 1
Elements of Computational Systems Biology	 1
Handbook of Large-Scale Random Networks	 1
Intelligent Service Robotics	 1
Pattern Recognition	 2
Mathematical Analysis of Evolution, Information, and Complexity Draft Version	 1
Annals of the New York Academy of Sciences	 3
International Journal of Systems Science	 1
Developmental biology	 1
Artificial Intelligence in Medicine	 2
Optimization Methods and Software	 1
Current Computer-Aided Drug Design	 1
Systems, Man, and Cybernetics, Part B: Cybernetics, IEEE Transactions on	 1
Advances in Applied Mathematics	 1
Physical review E	 1
Phys. Rev. E to appear, in	 1
Bioinformatics Technologies	 2
Computational and Statistical Approaches to Genomics	 1
Nature Reviews Microbiology	 1
European Journal of Operational Research	 1
Computational and statistical approaches to genomics	 2
International Journal of Medical Informatics	 1
Arxiv preprint arXiv:0801.0249	 1
Lecture Notes in Operations Research	 1
Biotechnology progress	 1
PLoS Comput Biol	 3
Journal of Multimedia	 1
Comparative and Functional Genomics	 1
International Journal of Bifurcation and Chaos	 1
BMC Genomics	 2
Fuzzy Systems in Bioinformatics and Computational Biology	 1
Artificial Life	 2
Nature Reviews Molecular Cell Biology	 1
Signal Processing	 4
Bioinformatics	 26
Methods Inf Med	 1
Human-Centric Information Processing Through Granular Modelling	 1
Microbial Functional Genomics	 1
METHODS IN MOLECULAR BIOLOGY-CLIFTON THEN TOTOWA-	 1
Pattern Recognition in Bioinformatics	 2
Annual review of biochemistry	 1
IET Systems Biology	 1
Systems Biology and Computational Proteomics	 1
Genomic Medicine	 1
Circuits and Systems I: Regular Papers, IEEE Transactions on	 1
In silico technologies in drug target identification and validation	 1
Statistical Bioinformatics: For Biomedical and Life Science Researchers	 1
Drug Discovery Today: Disease Models	 1
Gene Regulation and Systems Biology	 1
pgs	 1
Biomedical Engineering, IEEE Transactions on	 2
Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications	 1
Computer Science Review	 1
Theoretical Computer Science	 1
IEEE Trans. Signal Process	 1
Wiley Interdisciplinary Reviews: Systems Biology and Medicine	 1
Future Microbiol.	 1
Practical systems biology	 1
Mol. BioSyst.	 1
Logic Programming	 1
Smad Signal Transduction	 1
Advances in Bioinformatics	 1
Physics Letters A	 2
