Journal	Title	Year
BMC bioinformatics	Comparison of probabilistic Boolean network and dynamic Bayesian network approaches for inferring gene regulatory networks	2007
BMC bioinformatics	Mining and state-space modeling and verification of sub-networks from large-scale biomolecular networks	2007
Current opinion in biotechnology	Biochemical and statistical network models for systems biology	2007
Predictive toxicology	Computational biology and toxicogenomics	2005
Information Sciences	Generating probabilistic Boolean networks from a prescribed stationary distribution	2010
PloS one	Attraction Basins as Gauges of Robustness against Boundary Conditions in Biological Complex Systems	2010
PloS one	Classification of Genes and Putative Biomarker Identification Using Distribution Metrics on Expression Profiles	2010
PloS one	A top-performing algorithm for the DREAM3 gene expression prediction challenge	2010
PloS one	Scalable steady state analysis of boolean biological regulatory networks	2009
EURASIP Journal on Bioinformatics and Systems Biology	Inference of gene regulatory networks based on a universal minimum description length	2008
EURASIP Journal on Bioinformatics and Systems Biology	Algorithms and Complexity Analyses for Control of Singleton Attractors in Boolean Networks	2008
EURASIP Journal on Bioinformatics and Systems Biology	Optimal constrained stationary intervention in gene regulatory networks	2008
EURASIP Journal on Bioinformatics and Systems Biology	Inference of a probabilistic Boolean network from a single observed temporal sequence	2007
EURASIP Journal on Bioinformatics and Systems Biology	Reconstructing generalized logical networks of transcriptional regulation in mouse brain from temporal gene expression data	2009
EURASIP Journal on Bioinformatics and Systems Biology	Intervention in context-sensitive probabilistic Boolean networks revisited	2009
EURASIP Journal on Bioinformatics and Systems Biology	Applications of Signal Processing Techniques to Bioinformatics, Genomics, and Proteomics	2009
EURASIP Journal on Bioinformatics and Systems Biology	Polynomial-Time Algorithm for Controllability Test of a Class of Boolean Biological Networks	2010
EURASIP Journal on Bioinformatics and Systems Biology	Genetic regulatory networks	2007
EURASIP Journal on Bioinformatics and Systems Biology	A robust structural PGN model for control of cell-cycle progression stabilized by negative feedbacks	2007
EURASIP Journal on Bioinformatics and Systems Biology	Uncovering gene regulatory networks from time-series microarray data with variational Bayesian structural expectation maximization	2007
EURASIP Journal on Bioinformatics and Systems Biology	Analysis of gene coexpression by B-spline based CoD estimation	2007
EURASIP Journal on Bioinformatics and Systems Biology	Inference of Boolean networks using sensitivity regularization	2008
EURASIP Journal on Bioinformatics and Systems Biology	Recovering genetic regulatory networks from chromatin immunoprecipitation and steady-state microarray data	2008
Journal of Computational Biology	Gene clustering based on clusterwide mutual information	2004
Electrophoresis	Transforming omics data into context: bioinformatics on genomics and proteomics raw data	2006
Current pharmaceutical design	Computational and experimental approaches for modeling gene regulatory networks	2007
BioSystems Rev	Systems biology: Discovering the dynamic behavior of biochemical networks	2005
Biotechnol. Prog	TOPICAL PAPER	2004
Fuzzy Logic	Gene Regulatory Network Modeling: A Data Driven Approach	2007
Machine Learning	An efficient top-down search algorithm for learning boolean networks of gene expression	2006
New Mathematics and Natural Computation	REVERSE ENGINEERING OF THE NK BOOLEAN NETWORK AND ITS EXTENSION-FUZZY LOGIC NETWORK	2007
Data Mining and Knowledge Management	Ranking Gene Regulatory Network Models with Microarray Data and Bayesian Network	2005
Signal Processing, IEEE Transactions on	Optimal infinite-horizon control for probabilistic Boolean networks	2006
Signal Processing, IEEE Transactions on	Characterizing the effect of coarse-scale PBN modeling on dynamics and intervention performance of genetic regulatory networks represented by stochastic master equation models	2010
Signal Processing, IEEE Transactions on	Dynamics preserving size reduction mappings for probabilistic Boolean networks	2007
Signal Processing, IEEE Transactions on	Design of probabilistic Boolean networks under the requirement of contextual data consistency	2006
Signal Processing, IEEE Transactions on	Robust intervention in probabilistic Boolean networks	2008
Signal Processing, IEEE Transactions on	Selection policy-induced reduction mappings for Boolean networks	2010
IEEE IEEE/ACM Transactions on Computational Biology and Bioinformatics	Genetic networks and soft computing	2009
Computational Biology and Bioinformatics, IEEE/ACM Transactions on	Inferring connectivity of genetic regulatory networks using information-theoretic criteria	2008
Methods of Microarray Data Analysis V	Constructing probabilistic genetic networks of Plasmodium falciparum from dynamical expression signals of the intraerythrocytic development cycle	2007
Journal of Integrative Bioinformatics	Using gene networks to drug target identification	2005
Bioinformatics for Systems Biology	Methods for Structural Inference and Functional Module Identification in Intracellular Networks	2009
Genomics	Current awareness on comparative and functional genomics	2002
Biotechnology Journal	Identification of mouse heart transcriptomic network sensitive to various heart diseases	2008
BMC genomics	Reverse engineering module networks by PSO-RNN hybrid modeling	2009
Algorithms for Molecular Biology	A linear programming approach for estimating the structure of a sparse linear genetic network from transcript profiling data	2009
Bioinformatics Research and Applications	Analysis of Gene Interactions Using Restricted Boolean Networks and Time-Series Data	2010
Algebraic Biology	Algebraic models in systems biology	2005
Algebraic Biology	Algorithms for inference, analysis and control of Boolean networks	2008
Biosystems	A hybrid systems framework for cellular processes	2005
Biosystems	A markovian approach to the control of genetic regulatory networks	2007
Computer-Aided Design of Integrated Circuits and Systems, IEEE Transactions on	An outlook on design technologies for future integrated systems	2009
Handbook of Research on Systems Biology Applications in Medicine	Pathway Biology Approach to Medicine	2009
Selected Topics in Signal Processing, IEEE Journal of	Probabilistic Boolean Network Analysis of Brain Connectivity in Parkinson's Disease	2009
Selected Topics in Signal Processing, IEEE Journal of	Intrinsically multivariate predictive genes	2008
Selected Topics in Signal Processing, IEEE Journal of	Optimal intervention in asynchronous genetic regulatory networks	2008
Annals of Operations Research	Analysing DNA microarray data using Boolean techniques	
Computer and Information Sciences--ISCIS 2006	Asymptotical Lower Limits on Required Number of Examples for Learning Boolean Networks	2006
Molecular cancer therapeutics	Binarization of Microarray Data on the Basis of a Mixture Model1	2003
Philosophical Transactions of the Royal Society B: Biological Sciences	Understanding endothelial cell apoptosis: what can the transcriptome, glycome and proteome reveal?	2007
Plant systems biology	An Overview of Systems Biology	2009
Transactions on Computational Systems Biology V	A control model for Markovian genetic regulatory networks	2006
Computational Science and Its Applications--ICCSA 2005	Estimating gene networks from expression data and binding location data via Boolean networks	2005
Current Genomics	A Tutorial on Analysis and Simulation of Boolean Gene Regulatory Network Models	2009
Current Genomics	Recent computational approaches to understand gene regulation: mining gene regulation in silico	2007
Current Genomics	Classification and error estimation for discrete data	2009
Current Genomics	Translational science: epistemology and the investigative process	2009
Current Genomics	Recent Advances in Intervention in Markovian Regulatory Networks	2009
Current Genomics	Validation of inference procedures for gene regulatory networks	2007
Current Genomics	Boolean Models of Genomic Regulatory Networks: Reduction Mappings, Inference, and External Control	2009
Current Genomics	Inference of gene regulatory networks using time-series data: a survey	2009
Nonlinear Analysis	A survey on piecewise-linear models of regulatory dynamical systems	2005
Physica A: Statistical Mechanics and its Applications	The stabilizing effect of noise on the dynamics of a Boolean network	2007
Physica A: Statistical Mechanics and its Applications	The ensemble approach to understand genetic regulatory networks	2004
Physica A: Statistical Mechanics and its Applications	Dynamical behavior and influence of stochastic noise on certain generalized Boolean networks	2008
Physica A: Statistical Mechanics and its Applications	Bridging genetic networks and queueing theory	2004
EURASIP Journal on Advances in Signal Processing	Exact Performance of CoD Estimators in Discrete Prediction	2010
Signal Processing Magazine, IEEE	Research issues in genomic signal processing	2005
Signal Processing Magazine, IEEE	Finding module-based gene networks with state-space models-Mining high-dimensional and short time-course gene expression data	2006
Signal Processing Magazine, IEEE	Control approaches for probabilistic gene regulatory networks-What approaches have been developed for addreassinig the issue of intervention?	2006
IEICE TRANSACTIONS on Information and Systems	Graphical gaussian modeling for gene association structures based on expression deviation patterns induced by various chemical stimuli	2006
Knowledge Exploration in Life Science Informatics	Functional data analysis of the dynamics of gene regulatory networks	2004
Bioinformatics Research and Development	Biological network inference using redundancy analysis	2007
Arxiv preprint arXiv:0708.1500	The reverse engineering problem with probabilities and sequential behavior: Probabilistic Sequential Networks	2007
Systems Biology for Signaling Networks	Current Progress in Static and Dynamic Modeling of Biological Networks	2010
Molecular analysis and genome discovery	Infectomics Overview: Holistic and Integrative Studies of Infectious Diseases	2004
Bioinformatics and Biology Insights	Using a seed-network to query multiple large-scale gene expression datasets from the developing retina in order to identify and prioritize experimental targets	2008
Biochemistry	Logic-based models for the analysis of cell signaling networks	2010
Geometric and Algebraic Methods in Statistics (eds. P. Gibilisco, E. Riccomagno, MP Rogantin and HP Wynn), Cambridge University Press, Cambridge (forthcoming)	Design of experiments and biochemical network inference	2008
Arxiv preprint math/0507030	Average sensitivity of typical monotone boolean functions	2005
Rhode Island, Poster and Proceedings of GENSIPS	Probabilistic Sequential Systems	2005
ALGEBRAIC AND GEOMETRIC METHODS IN STATISTICS	Reinhard Laubenbacher	
GENOME INFORMATICS SERIES	Development of An Integrated System for Genetic Network Analysis and Microarray Data Management	2003
GENOME INFORMATICS SERIES	Identifying drug active pathways from gene networks estimated by gene expression data	2005
GENOME INFORMATICS SERIES	Comparative analysis workbench for genetic networks	2003
Machine learning	External control in Markovian genetic regulatory networks	2003
Molecular Analysis and Genome Discovery	Infectomics Overview	2005
Physical Review E, Statistical, non-linear, and soft matter physics	A Random Boolean Network Model and Deterministic Chaos	2004
Journal of Theoretical Biology	A computational algebra approach to the reverse engineering of gene regulatory networks	2004
Journal of Theoretical Biology	Sampling-rate-dependent probabilistic Boolean networks	2009
International journal of data mining and bioinformatics	Simulation study in probabilistic Boolean network models for genetic regulatory networks	2007
Advances in Bioinformatics and Computational Biology	AGN simulation and validation model	2008
Lecture Notes-Monograph Series	DNA-protein binding and gene expression patterns	2003
Briefings in Functional Genomics	Gene set enrichment; a problem of pathways	2010
Festschrift in Honor of Jaakko Astola on the Occasion of his 60th Birthday, Tampere International Center for Signal Processing, TICSP Series	Epistemology and the Role of Mathematics in Translational Science	2009
networks	Attraction Basins as Gauges of Environmental Robustness in Biological Complex Systems 	
Microbiology and Molecular Biology Reviews	Mechanisms and evolution of control logic in prokaryotic transcriptional regulation	2009
BMC systems biology	Qualitative networks: a symbolic approach to analyze biological signaling networks	2007
BMC systems biology	Intervention in gene regulatory networks via greedy control policies based on long-run behavior	2009
BMC systems biology	Reconstruction and logical modeling of glucose repression signaling pathways in Saccharomyces cerevisiae	2009
BMC systems biology	Reconstruction of Escherichia coli transcriptional regulatory networks via regulon-based associations	2009
BMC systems biology	Minimally perturbing a gene regulatory network to avoid a disease phenotype: the glioma network as a test case	2010
Source code for biology and medicine	Boolean network simulations for life scientists	2008
Arxiv preprint arXiv:1001.0063	On a Model for Integrated Information	2010
Bulletin of Mathematical Biology	A Mathematical Framework for Agent Based Models of Complex Biological Networks	
International Journal of Functional Informatics and Personalised Medicine	Analysis of microarray data to infer transcription regulation in the yeast cell cycle	2010
ACM SIGKDD Explorations Newsletter	Mining biologically active patterns in metabolic pathways using microarray expression profiles	2003
Plant Systems Biology	Network visualization and network analysis	2007
Submit in RECOMB	Integrating heterogeneous knowledges for understanding biological behaviors: a probabilistic approach	
International Journal of Bioinformatics Research and Applications	Modelling gene functional linkages using yeast microarray data	2007
BMC Systems Biology	The regulatory network of E. coli metabolism as a Boolean dynamical system exhibits both homeostasis and flexibility of response	2008
BMC Systems Biology	Inferring context-sensitive Probabilistic Boolean Networks from gene expression data under multi-biological conditions	2007
BMC Systems Biology	A novel gene network inference algorithm using predictive minimum description length approach	2010
BMC Systems Biology	Experimental design for efficient identification of gene regulatory networks using sparse Bayesian models	2007
BMC Systems Biology	Dynamical modeling of the cholesterol regulatory pathway with Boolean networks	2008
BMC Systems Biology	On finite-horizon control of genetic regulatory networks with multiple hard-constraints	2010
Discrete applied mathematics	A mathematical program to refine gene regulatory networks	2009
Proceedings of the IEEE	From Boolean to probabilistic Boolean networks as models of genetic regulatory networks	2002
Journal of Bioinformatics and Computational Biology	INFERENCE OF LARGE-SCALE GENE REGULATORY NETWORKS USING REGRESSION-BASED NETWORK APPROACH	2009
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS	Predicting Cancerous Genes Based on Regulation Truth Tables	2006
BioScience	Biological Resource Centers and Systems Biology	2009
Molecular BioSystems	Computational models reconstruct gene regulatory networks	2008
Molecular BioSystems	Inferring Boolean networks with perturbation from sparse gene expression data: a general model applied to the interferon regulatory network	2008
Computers in Biology and Medicine	Mechanistic electronic model to simulate and predict the effect of heat stress on the functional genomics of HO-1 system: Vasodilation	2010
Physiological Genomics	Increasing the efficiency of fuzzy logic-based gene expression data analysis	2003
Current opinion in plant biology	Gene regulatory network models for plant development	2007
Computers \& Chemical Engineering	Large-scale inference of the transcriptional regulation of Bacillus subtilis	2005
CISE Ph. D. Thesis Proposal, University of Puerto Rico, Mayag\\"uez, Puerto Rico	Analysis of Gene Regulation Networks Using Finite-Field Models	2006
Arxiv preprint arXiv:1008.5359	Dynamics on networks I. Combinatorial categories of modular continuous-time systems	2010
Computational Methods in Biomedical Research	Microarray data analysis	2007
analysis	The KM-Algorithm Identifies Regulated Genes in Time Series Expression Data	
Journal of Biological Systems	Control of stationary behavior in probabilistic Boolean networks by means of structural intervention	2002
Journal of Biological Systems	Can Markov chain models mimic biological regulation?	2002
EURASIP Journal on Applied Signal Processing	Reduction mappings between probabilistic Boolean networks	2004
EURASIP Journal on Applied Signal Processing	Genomic signal processing: the salient issues	2004
EURASIP Journal on Applied Signal Processing	Gene prediction using multinomial probit regression with Bayesian gene selection	2004
Journal of theoretical biology	Superstability of the yeast cell-cycle dynamics: ensuring causality in the presence of biochemical stochasticity	2007
Journal of theoretical biology	A proposal for using the ensemble approach to understand genetic regulatory networks	2004
Journal of theoretical biology	On the long-run sensitivity of probabilistic Boolean networks	2009
Journal of theoretical biology	Uncovering operational interactions in genetic networks using asynchronous boolean dynamics	2009
Modeling and control of complex systems	Modeling and Control in Cancer Genomics	2007
Systems Biology and Regulatory Genomics	Improvement of computing times in boolean networks using chi-square tests	2006
Journal of bioinformatics and computational biology	INFERENCE OF GENE REGULATORY NETWORKS USING BOOLEAN-NETWORK INFERENCE METHODS	2009
Computers \& chemical engineering	Overview of computational methods for the inference of gene regulatory networks	2005
The Plant Cell Online	Network inference, analysis, and modeling in systems biology	2007
International Journal of Data Mining and Bioinformatics	Dynamic algorithm for inferring qualitative models of gene regulatory networks	2006
Arxiv preprint math.DS/0603289	Simulation of Discrete Systems using Probabilistic Sequential Systems	2006
Department of Philosophy	Problems for Structure Learning: Aggregation and Computational Complexity	2009
Parallel computing for bioinformatics and computational biology: models, enabling technologies, and case studies	Parallel Computing in the Analysis of Gene Expression Relationships	2006
Genomic Signal Processing and Statistics (New York, NY, USA, 2005), Hindawi Publishing Corporation	Genomic signal processing: Perspectives	
:	 	2006
Statistical Methodology	Error tolerant model for incorporating biological knowledge with expression data in estimating gene networks	2006
J Bioinform Comput Biol	Improving gene network inference by comparing expression time-series across species, developmental stages or tissues	2004
J Bioinform Comput Biol	Computational strategies for analyzing data in gene expression microarray experiments	2003
J Bioinform Comput Biol	Use of gene networks for identifying and validating drug targets	2003
Methods in enzymology	Algebraic Models of Biochemical Networks	2009
Methods in enzymology	Deterministic and Stochastic Models of Genetic Regulatory Networks	2009
Proceedings of the National Academy of Sciences	Stochastic models for regulatory networks of the genetic toggle switch	2006
Proceedings of the National Academy of Sciences	Using the principle of entropy maximization to infer genetic interaction networks from gene expression patterns	2006
Molecular systems biology	Discrete logic modelling as a means to link protein signalling networks with functional analysis of mammalian signal transduction	2009
Automatic Control, IEEE Transactions on	A linear representation of dynamics of Boolean networks	
Computers \& Mathematics with Applications	KINSOLVER: A simulator for computing large ensembles of biochemical and gene regulatory networks	2009
BMC Bioinformatics	Time lagged information theoretic approaches to the reverse engineering of gene regulatory networks	2010
Elements of Computational Systems Biology	ANALYSIS AND CONTROL OF DETERMINISTIC AND PROBABILISTIC BOOLEAN NETWORKS	2010
Handbook of Large-Scale Random Networks	Toward Understanding the Structure and Function of Cellular Interaction Networks	2008
Intelligent Service Robotics	Robust robot knowledge instantiation for intelligent service robots	2010
Pattern Recognition	Exact performance of error estimators for discrete classifiers	2005
Pattern Recognition	The coefficient of intrinsic dependence (feature selection using el CID)	2005
Mathematical Analysis of Evolution, Information, and Complexity Draft Version	Boolean Networks for Modeling Gene Regulation	2008
Annals of the New York Academy of Sciences	Network inference by combining biologically motivated regulatory constraints with penalized regression	2009
Annals of the New York Academy of Sciences	Modeling of Gene Regulatory Network Dynamics Using Threshold Logic	2009
Annals of the New York Academy of Sciences	Inference, validation, and dynamic modeling of transcription networks in multipotent hematopoietic cells	2007
International Journal of Systems Science	Stationary and structural control in gene regulatory networks: basic concepts	2010
Developmental biology	Challenges for modeling global gene regulatory networks during development: Insights from Drosophila	2010
Artificial Intelligence in Medicine	An algorithm to learn causal relations between genes from steady state data: Simulation and its application to melanoma dataset	2005
Artificial Intelligence in Medicine	Scalable approach for effective control of gene regulatory networks	2010
Optimization Methods and Software	Genetic networks: processing data, regulatory network modelling and their analysis	2007
Current Computer-Aided Drug Design	Systems Biology and Computer-Aided Drug Discovery	2006
Systems, Man, and Cybernetics, Part B: Cybernetics, IEEE Transactions on	Automated large-scale control of gene regulatory networks	2010
Advances in Applied Mathematics	Reverse-engineering of polynomial dynamical systems	2007
Physical review E	Entropy of complex relevant components of Boolean networks	2007
Phys. Rev. E to appear, in	Asynchronous random Boolean network model based on elementary cellular automata	2005
Bioinformatics Technologies	Microarray data analysis	2005
Bioinformatics Technologies	Modeling for Bioinformatics	2005
Computational and Statistical Approaches to Genomics	Scale-dependent statistics of the numbers of transcripts and protein sequences encoded in the genome	2006
Nature Reviews Microbiology	Reconstruction of biochemical networks in microorganisms	2008
European Journal of Operational Research	Modeling gene regulatory networks with piecewise linear differential equations	2007
Computational and statistical approaches to genomics	Inference of genetic regulatory networks via best-fit extensions	2003
Computational and statistical approaches to genomics	Statistics of the numbers of transcripts and protein sequences encoded in the genome	2003
International Journal of Medical Informatics	Inferring gene regulatory networks by integrating static and dynamic data	2007
Arxiv preprint arXiv:0801.0249	A mathematical formalism for agent-based modeling	2007
Lecture Notes in Operations Research	Finite-Horizon Control of Genetic Regulatory Networks with Multiple Hard-Constraints	2009
Biotechnology progress	Modeling the quorum sensing regulatory network of human-pathogenic Pseudomonas aeruginosa	2004
PLoS Comput Biol	Functional states of the genome-scale Escherichia coli transcriptional regulatory system	2009
PLoS Comput Biol	Iterative reconstruction of transcriptional regulatory networks: an algorithmic approach	2006
PLoS Comput Biol	Matrix formalism to describe functional states of transcriptional regulatory systems	2006
Journal of Multimedia	Bayesian inference of genetic regulatory networks from time series microarray data using dynamic Bayesian networks	2007
Comparative and Functional Genomics	Steady-state analysis of genetic regulatory networks modelled by probabilistic Boolean networks	2003
International Journal of Bifurcation and Chaos	ALGEBRAIC APPROACH TO DYNAMICS OF MULTIVALUED NETWORKS	2010
BMC Genomics	Qualitative reasoning of dynamic gene regulatory interactions from gene expression data	2010
BMC Genomics	Robust inference of the context specific structure and temporal dynamics of gene regulatory network	2010
Fuzzy Systems in Bioinformatics and Computational Biology	Scalable Dynamic Fuzzy Biomolecular Network Models for Large Scale Biology	2009
Artificial Life	Bio-logic: gene expression and the laws of combinatorial logic	2008
Artificial Life	Bio-Logic: Gene Expression and the Laws of Combinatorial Logic	2008
Nature Reviews Molecular Cell Biology	Modelling and analysis of gene regulatory networks	2008
Signal Processing	Steady-state probabilities for attractors in probabilistic Boolean networks	2005
Signal Processing	Construction of genomic networks using mutual-information clustering and reversible-jump Markov-chain-Monte-Carlo predictor design	2003
Signal Processing	Mappings between probabilistic Boolean networks	2003
Signal Processing	E cient selection of feature sets possessing high coefficients of determination based on incremental determinations	2003
Bioinformatics	Is cross-validation better than resubstitution for ranking genes?	2004
Bioinformatics	Corrected small-sample estimation of the Bayes error	2003
Bioinformatics	A CoD-based reduction algorithm for designing stationary control policies on Boolean networks	2010
Bioinformatics	Causal relationship inference for a large-scale cellular network	2010
Bioinformatics	Differential dependency network analysis to identify condition-specific topological changes in biological networks	2009
Bioinformatics	Sparse combinatorial inference with an application in cancer biology	2009
Bioinformatics	Inference of gene regulatory networks and compound mode of action from time course gene expression profiles	2006
Bioinformatics	Intervention in context-sensitive probabilistic Boolean networks	2005
Bioinformatics	Boolean dynamics of genetic regulatory networks inferred from microarray time series data	2007
Bioinformatics	A Bayesian connectivity-based approach to constructing probabilistic gene regulatory networks	2004
Bioinformatics	List-decoding methods for inferring polynomials in finite dynamical gene network models	2009
Bioinformatics	Gene perturbation and intervention in probabilistic Boolean networks	2002
Bioinformatics	Binary analysis and optimization-based normalization of gene expression data	2002
Bioinformatics	Discerning static and causal interactions in genome-wide reverse engineering problems	2008
Bioinformatics	Inferring genetic regulatory logic from expression data	2005
Bioinformatics	An approximation method for solving the steady-state probability distribution of probabilistic Boolean networks	2007
Bioinformatics	Few crucial links assure checkpoint efficiency in the yeast cell-cycle network	2006
Bioinformatics	Adaptive intervention in probabilistic boolean networks	2009
Bioinformatics	Modeling stochasticity and robustness in gene regulatory networks	2009
Bioinformatics	Estimating gene networks from gene expression data by combining Bayesian network model with promoter element detection	2003
Bioinformatics	Growing genetic regulatory networks from seed genes	2004
Bioinformatics	Systematic intervention of transcription for identifying network response to disease and cellular phenotypes	2005
Bioinformatics	Intervention in a family of Boolean networks	2006
Bioinformatics	State reduction for network intervention in probabilistic Boolean networks	2010
Bioinformatics	External control in Markovian genetic regulatory networks: the imperfect information case	2004
Bioinformatics	An effective structure learning method for constructing gene networks	2006
Methods Inf Med	Computational approaches to analysis of DNA microarray data	2006
Human-Centric Information Processing Through Granular Modelling	Gene Interactions Sub-networks and Soft Computing	2009
Microbial Functional Genomics	Future perspectives: genomics beyond single cells	
METHODS IN MOLECULAR BIOLOGY-CLIFTON THEN TOTOWA-	Analysis of gene networks for drug target discovery and validation	2007
Pattern Recognition in Bioinformatics	An Efficient Convex Nonnegative Network Component Analysis for Gene Regulatory Network Reconstruction	2009
Pattern Recognition in Bioinformatics	SFFS-MR: A Floating Search Strategy for GRNs Inference	2010
Annual review of biochemistry	Analyzing cellular biochemistry in terms of molecular networks	2004
IET Systems Biology	On approximate stochastic control in genetic regulatory networks	2007
Systems Biology and Computational Proteomics	A linear discrete dynamic system model for temporal gene interaction and regulatory network influence in response to bioethanol conversion inhibitor HMF for ethanologenic yeast	2007
Genomic Medicine	Deciphering modular and dynamic behaviors of transcriptional networks	2007
Circuits and Systems I: Regular Papers, IEEE Transactions on	Optimizing consistency-based design of context-sensitive gene regulatory networks	2006
In silico technologies in drug target identification and validation	V Pathways and Networks	2006
Statistical Bioinformatics: For Biomedical and Life Science Researchers	STATISTICAL NETWORK ANALYSIS FOR BIOLOGICAL SYSTEMS AND PATHWAYS	2010
Drug Discovery Today: Disease Models	Mathematical modeling and synthetic biology	2009
Gene Regulation and Systems Biology	Stochastic Spatio-Temporal Dynamic Model for Gene/Protein Interaction Network in Early Drosophila Development	2009
pgs	Genomic approaches in dissecting complex biological pathways	2004
Biomedical Engineering, IEEE Transactions on	Optimal intervention strategies for cyclic therapeutic methods	2009
Biomedical Engineering, IEEE Transactions on	Intervention in gene regulatory networks via a stationary mean-first-passage-time control policy	2008
Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications	Analysis of the GRNs Inference by Using Tsallis Entropy and a Feature Selection Approach	2009
Computer Science Review	Computational challenges in systems biology	2009
Theoretical Computer Science	Parameter estimation for Boolean models of biological networks	2010
IEEE Trans. Signal Process	Effect of function perturbation on the steady-state distribution of genetic regulatory networks: optimal structural intervention	2008
Wiley Interdisciplinary Reviews: Systems Biology and Medicine	In silico models of cancer	2010
Future Microbiol.	Use of logic theory in understanding regulatory pathway signaling in response to infection	2010
Practical systems biology	Gene regulatory network models: A dynamic and integrative approach to development	2008
Mol. BioSyst.	Refining current knowledge on the yeast FLR1 regulatory network by combined experimental and computational approaches	2010
Logic Programming	Modelling biological networks by action languages via answer set programming	2006
Smad Signal Transduction	Systems Biology Approaches to TGF-$\beta$/Smad Signaling	2006
Advances in Bioinformatics	The KM-Algorithm Identifies Regulated Genes in Time Series Expression Data	2009
Physics Letters A	Power-law distribution of gene expression fluctuations	2008
Physics Letters A	Stochastic stability of Markovian switching genetic regulatory networks	2009
